membre_id,lead_id,date_adhesion,proprietaire_origine,age,genre,commune,source_acquisition,statut_membre,date_dernier_passage,frequence_hebdo,utilisation_coaching,score_risque_churn
MEM-00001,LEAD-2026-0001,2026-05-24,USR-01,25,F,Buc,google_ads,actif,2026-06-21,0.9,faux,65
MEM-00002,LEAD-2026-0002,2026-06-14,USR-02,26,H,Versailles,google_ads,actif,2026-06-21,2.1,faux,41
MEM-00003,LEAD-2026-0012,2026-05-16,USR-01,56,F,Versailles,instagram,actif,2026-06-21,4.3,faux,12
MEM-00004,LEAD-2026-0016,2026-05-11,USR-02,35,H,Versailles,instagram,actif,2026-06-20,3.9,vrai,28
MEM-00005,LEAD-2026-0020,2026-04-06,USR-02,60,F,Versailles,instagram,actif,2026-06-19,2.2,vrai,49
MEM-00006,LEAD-2026-0025,2026-04-23,USR-01,50,H,Versailles,google_ads,actif,2026-06-21,3.6,faux,28
MEM-00007,LEAD-2026-0030,2026-06-02,USR-01,37,H,Viroflay,google_ads,actif,2026-06-20,3.5,faux,32
MEM-00008,LEAD-2026-0033,2026-04-11,USR-02,31,F,Jouy-en-Josas,instagram,actif,2026-04-30,0.0,faux,100
MEM-00009,LEAD-2026-0039,2026-04-29,USR-02,57,F,Buc,instagram,actif,2026-04-10,0.0,faux,100
MEM-00010,LEAD-2026-0045,2026-04-13,USR-02,59,F,Versailles,instagram,actif,2026-06-20,3.4,faux,34
MEM-00011,LEAD-2026-0046,2026-05-24,USR-02,28,F,Versailles,google_ads,actif,2026-02-22,0.0,faux,100
MEM-00012,LEAD-2026-0052,2026-05-31,USR-02,49,H,Versailles,google_ads,actif,2026-06-21,3.1,faux,30
MEM-00013,LEAD-2026-0064,2026-06-17,USR-02,53,H,Viroflay,site_web,actif,2026-03-20,0.0,vrai,100
MEM-00014,LEAD-2026-0071,2026-05-28,USR-02,48,F,Viroflay,site_web,actif,2026-06-19,2.9,faux,35
MEM-00015,LEAD-2026-0079,2026-05-07,USR-02,35,H,Versailles,google_ads,actif,2026-06-03,0.3,faux,92
MEM-00016,LEAD-2026-0089,2026-04-24,USR-02,32,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-17,2.6,vrai,41
MEM-00017,LEAD-2026-0094,2026-04-30,USR-02,56,H,Versailles,instagram,actif,2026-06-21,2.7,vrai,33
MEM-00018,LEAD-2026-0097,2026-04-16,USR-02,35,H,Le Chesnay-Rocquencourt,instagram,actif,2026-06-21,3.2,faux,28
MEM-00019,LEAD-2026-0100,2026-05-21,USR-02,30,H,Viroflay,instagram,actif,2026-06-18,2.7,faux,38
MEM-00020,LEAD-2026-0102,2026-05-29,USR-02,36,F,Viroflay,google_ads,actif,2026-06-21,4.7,faux,2
MEM-00021,LEAD-2026-0103,2026-05-08,USR-02,50,F,Le Chesnay-Rocquencourt,instagram,actif,2026-06-21,4.8,faux,9
MEM-00022,LEAD-2026-0109,2026-05-10,USR-01,51,H,Buc,instagram,actif,2026-06-16,4.3,faux,17
MEM-00023,LEAD-2026-0121,2026-06-10,USR-01,51,F,Bailly,instagram,actif,2026-06-19,2.7,faux,39
MEM-00024,LEAD-2026-0127,2026-04-24,USR-02,22,F,Versailles,instagram,actif,2026-05-01,0.0,faux,100
MEM-00025,LEAD-2026-0130,2026-05-21,USR-01,31,F,Versailles,site_web,actif,2026-03-15,0.0,faux,100
MEM-00026,LEAD-2026-0134,2026-05-20,USR-02,19,F,Versailles,google_ads,actif,2026-06-19,2.7,faux,34
MEM-00027,LEAD-2026-0144,2026-05-07,USR-02,57,F,Le Chesnay-Rocquencourt,instagram,actif,2026-04-23,0.0,faux,100
MEM-00028,LEAD-2026-0149,2026-05-04,USR-02,28,H,Saint-Cyr-l'École,instagram,actif,2026-06-19,2.5,faux,50
MEM-00029,LEAD-2026-0158,2026-06-28,USR-02,38,F,Vélizy-Villacoublay,instagram,actif,2026-06-04,0.3,faux,78
MEM-00030,LEAD-2026-0163,2026-04-10,USR-01,32,H,Vélizy-Villacoublay,google_ads,actif,2026-06-21,3.4,vrai,31
MEM-00031,LEAD-2026-0164,2026-05-16,USR-02,33,F,Saint-Cyr-l'École,instagram,actif,2026-06-14,0.3,faux,77
MEM-00032,LEAD-2026-0172,2026-06-18,USR-02,34,H,Versailles,google_ads,actif,2026-06-19,1.5,vrai,62
MEM-00033,LEAD-2026-0198,2026-06-21,USR-02,19,H,Viroflay,site_web,actif,2026-06-19,1.8,vrai,60
MEM-00034,LEAD-2026-0203,2026-06-13,USR-02,60,H,Buc,instagram,actif,2026-06-21,3.2,faux,37
MEM-00035,LEAD-2026-0210,2026-06-19,USR-02,20,F,Viroflay,google_ads,actif,2026-05-17,0.0,vrai,94
MEM-00036,LEAD-2026-0211,2026-04-25,USR-02,48,H,Bailly,instagram,actif,2026-06-19,3.0,vrai,29
MEM-00037,LEAD-2026-0232,2026-04-28,USR-02,22,F,Saint-Cyr-l'École,google_ads,actif,2026-06-19,2.3,faux,45
MEM-00038,LEAD-2026-0239,2026-06-25,USR-01,28,F,Buc,instagram,actif,2026-06-18,1.7,faux,51
MEM-00039,LEAD-2026-0274,2026-05-07,USR-02,59,H,Viroflay,instagram,actif,2026-06-21,3.4,faux,22
MEM-00040,LEAD-2026-0278,2026-05-31,USR-02,44,F,Vélizy-Villacoublay,instagram,actif,2026-06-20,2.8,faux,38
MEM-00041,LEAD-2026-0290,2026-04-21,USR-02,50,H,Versailles,recommandation,actif,2026-06-20,2.3,faux,43
MEM-00042,LEAD-2026-0294,2026-06-07,USR-02,20,F,Versailles,site_web,actif,2026-06-16,2.1,faux,46
MEM-00043,LEAD-2026-0295,2026-06-20,USR-02,41,H,Viroflay,google_ads,actif,2026-06-11,1.9,faux,64
MEM-00044,LEAD-2026-0306,2026-05-08,USR-02,39,F,Le Chesnay-Rocquencourt,recommandation,actif,2026-06-17,3.3,faux,26
MEM-00045,LEAD-2026-0322,2026-05-12,USR-02,49,H,Vélizy-Villacoublay,google_ads,actif,2026-06-20,1.6,vrai,61
MEM-00046,LEAD-2026-0328,2026-06-01,USR-02,27,F,Vélizy-Villacoublay,site_web,actif,2026-06-19,3.2,faux,31
MEM-00047,LEAD-2026-0331,2026-05-06,USR-02,37,H,Le Chesnay-Rocquencourt,google_ads,actif,2026-06-21,1.8,faux,55
MEM-00048,LEAD-2026-0340,2026-06-03,USR-02,41,H,Versailles,google_ads,actif,2026-06-20,1.8,vrai,55
MEM-00049,LEAD-2026-0345,2026-05-03,USR-02,42,F,Viroflay,instagram,actif,2026-06-21,0.3,faux,73
MEM-00050,LEAD-2026-0352,2026-06-08,USR-02,47,H,Saint-Cyr-l'École,site_web,actif,2026-06-21,1.4,faux,52
MEM-00051,LEAD-2026-0374,2026-04-09,USR-02,45,F,Versailles,instagram,actif,2026-06-21,2.8,faux,34
