abonnement_id,membre_id,type_abonnement,date_debut,date_fin,montant_mensuel,mode_paiement,statut_abonnement,date_resiliation,motif_resiliation
ABO-00001,MEM-00001,essentiel,2026-05-24,,49.0,especes,actif,,
ABO-00002,MEM-00002,essentiel,2026-06-14,,49.0,prelevement_sepa,actif,,
ABO-00003,MEM-00003,essentiel,2026-05-16,,49.0,prelevement_sepa,actif,,
ABO-00004,MEM-00004,premium,2026-05-11,,69.0,prelevement_sepa,actif,,
ABO-00005,MEM-00005,essentiel,2026-04-06,,49.0,especes,actif,,
ABO-00006,MEM-00006,essentiel,2026-04-23,,49.0,prelevement_sepa,actif,,
ABO-00007,MEM-00007,essentiel,2026-06-02,,49.0,prelevement_sepa,actif,,
ABO-00008,MEM-00008,essentiel,2026-04-11,,49.0,prelevement_sepa,actif,,
ABO-00009,MEM-00009,premium,2026-04-29,,69.0,prelevement_sepa,actif,,
ABO-00010,MEM-00010,essentiel,2026-04-13,,49.0,prelevement_sepa,actif,,
ABO-00011,MEM-00011,essentiel,2026-05-24,,49.0,prelevement_sepa,actif,,
ABO-00012,MEM-00012,essentiel,2026-05-31,,49.0,prelevement_sepa,actif,,
ABO-00013,MEM-00013,essentiel,2026-06-17,,49.0,prelevement_sepa,actif,,
ABO-00014,MEM-00014,premium,2026-05-28,,69.0,prelevement_sepa,actif,,
ABO-00015,MEM-00015,essentiel,2026-05-07,,49.0,prelevement_sepa,actif,,
ABO-00016,MEM-00016,premium,2026-04-24,,69.0,prelevement_sepa,actif,,
ABO-00017,MEM-00017,premium,2026-04-30,,69.0,prelevement_sepa,actif,,
ABO-00018,MEM-00018,essentiel,2026-04-16,,49.0,prelevement_sepa,actif,,
ABO-00019,MEM-00019,essentiel,2026-05-21,,49.0,cb,actif,,
ABO-00020,MEM-00020,premium,2026-05-29,,69.0,prelevement_sepa,actif,,
ABO-00021,MEM-00021,premium,2026-05-08,,69.0,prelevement_sepa,actif,,
ABO-00022,MEM-00022,essentiel,2026-05-10,,49.0,prelevement_sepa,actif,,
ABO-00023,MEM-00023,premium,2026-06-10,,69.0,prelevement_sepa,actif,,
ABO-00024,MEM-00024,essentiel,2026-04-24,,49.0,prelevement_sepa,actif,,
ABO-00025,MEM-00025,premium,2026-05-21,,69.0,cb,actif,,
ABO-00026,MEM-00026,essentiel,2026-05-20,,49.0,prelevement_sepa,actif,,
ABO-00027,MEM-00027,premium,2026-05-07,,69.0,prelevement_sepa,actif,,
ABO-00028,MEM-00028,essentiel,2026-05-04,,49.0,prelevement_sepa,actif,,
ABO-00029,MEM-00029,essentiel,2026-06-28,,49.0,prelevement_sepa,actif,,
ABO-00030,MEM-00030,premium,2026-04-10,,69.0,prelevement_sepa,actif,,
ABO-00031,MEM-00031,premium,2026-05-16,,69.0,cb,actif,,
ABO-00032,MEM-00032,essentiel,2026-06-18,,49.0,prelevement_sepa,actif,,
ABO-00033,MEM-00033,essentiel,2026-06-21,,49.0,prelevement_sepa,actif,,
ABO-00034,MEM-00034,essentiel,2026-06-13,,49.0,prelevement_sepa,actif,,
ABO-00035,MEM-00035,essentiel,2026-06-19,,49.0,prelevement_sepa,actif,,
ABO-00036,MEM-00036,essentiel,2026-04-25,,49.0,prelevement_sepa,actif,,
ABO-00037,MEM-00037,premium,2026-04-28,,69.0,prelevement_sepa,actif,,
ABO-00038,MEM-00038,premium,2026-06-25,,69.0,prelevement_sepa,actif,,
ABO-00039,MEM-00039,premium,2026-05-07,,69.0,cb,actif,,
ABO-00040,MEM-00040,premium,2026-05-31,,69.0,prelevement_sepa,actif,,
ABO-00041,MEM-00041,premium,2026-04-21,,69.0,prelevement_sepa,actif,,
ABO-00042,MEM-00042,essentiel,2026-06-07,,49.0,prelevement_sepa,actif,,
ABO-00043,MEM-00043,premium,2026-06-20,,69.0,prelevement_sepa,suspendu_impaye,,
ABO-00044,MEM-00044,essentiel,2026-05-08,,49.0,prelevement_sepa,actif,,
ABO-00045,MEM-00045,essentiel,2026-05-12,,49.0,prelevement_sepa,actif,,
ABO-00046,MEM-00046,premium,2026-06-01,,69.0,prelevement_sepa,actif,,
ABO-00047,MEM-00047,essentiel,2026-05-06,,49.0,prelevement_sepa,actif,,
ABO-00048,MEM-00048,essentiel,2026-06-03,,49.0,prelevement_sepa,actif,,
ABO-00049,MEM-00049,premium,2026-05-03,,69.0,prelevement_sepa,actif,,
ABO-00050,MEM-00050,essentiel,2026-06-08,,49.0,prelevement_sepa,actif,,
ABO-00051,MEM-00051,essentiel,2026-04-09,,49.0,prelevement_sepa,actif,,
ABO-00052,MEM-00052,essentiel,2026-04-21,,49.0,prelevement_sepa,actif,,
ABO-00053,MEM-00053,essentiel,2026-06-09,,49.0,prelevement_sepa,actif,,
ABO-00054,MEM-00054,essentiel,2026-05-02,,49.0,cb,actif,,
ABO-00055,MEM-00055,premium,2026-05-15,,69.0,prelevement_sepa,actif,,
ABO-00056,MEM-00056,essentiel,2026-05-01,,49.0,cb,actif,,
ABO-00057,MEM-00057,essentiel,2026-04-10,,49.0,prelevement_sepa,actif,,
ABO-00058,MEM-00058,essentiel,2026-06-06,,49.0,prelevement_sepa,actif,,
ABO-00059,MEM-00059,essentiel,2026-05-30,,49.0,especes,actif,,
ABO-00060,MEM-00060,essentiel,2026-06-20,,49.0,prelevement_sepa,actif,,
ABO-00061,MEM-00061,essentiel,2026-06-28,,49.0,prelevement_sepa,actif,,
ABO-00062,MEM-00062,essentiel,2026-06-02,,49.0,prelevement_sepa,actif,,
ABO-00063,MEM-00063,essentiel,2026-04-10,,49.0,prelevement_sepa,actif,,
ABO-00064,MEM-00064,premium,2026-04-27,,69.0,prelevement_sepa,actif,,
ABO-00065,MEM-00065,premium,2026-06-29,,69.0,prelevement_sepa,actif,,
ABO-00066,MEM-00066,premium,2026-06-16,,69.0,prelevement_sepa,actif,,
ABO-00067,MEM-00067,essentiel,2026-05-11,,49.0,prelevement_sepa,actif,,
ABO-00068,MEM-00068,essentiel,2026-06-12,,49.0,cb,actif,,
ABO-00069,MEM-00069,essentiel,2026-04-21,,49.0,prelevement_sepa,actif,,
ABO-00070,MEM-00070,essentiel,2026-06-02,,49.0,cb,actif,,
ABO-00071,MEM-00071,essentiel,2026-04-11,,49.0,cb,actif,,
ABO-00072,MEM-00072,essentiel,2026-06-04,,49.0,prelevement_sepa,actif,,
ABO-00073,MEM-00073,essentiel,2026-06-30,,49.0,especes,actif,,
ABO-00074,MEM-00074,premium,2026-04-27,,69.0,prelevement_sepa,actif,,
ABO-00075,MEM-00075,premium,2026-06-03,,69.0,cb,suspendu_impaye,,
ABO-00076,MEM-00076,essentiel,2026-06-09,,49.0,prelevement_sepa,actif,,
ABO-00077,MEM-00077,essentiel,2026-05-08,,49.0,prelevement_sepa,actif,,
ABO-00078,MEM-00078,essentiel,2026-05-12,,49.0,prelevement_sepa,actif,,
ABO-00079,MEM-00079,essentiel,2026-05-10,,49.0,cb,actif,,
ABO-00080,MEM-00080,premium,2026-05-02,,69.0,prelevement_sepa,actif,,
ABO-00081,MEM-00081,essentiel,2026-04-18,,49.0,prelevement_sepa,actif,,
ABO-00082,MEM-00082,essentiel,2026-04-19,,49.0,prelevement_sepa,actif,,
ABO-00083,MEM-00083,essentiel,2022-07-30,,49.0,prelevement_sepa,actif,,
ABO-00084,MEM-00084,premium,2025-09-22,,69.0,prelevement_sepa,actif,,
ABO-00085,MEM-00085,premium,2024-06-06,,69.0,prelevement_sepa,actif,,
ABO-00086,MEM-00086,essentiel,2022-07-03,,49.0,prelevement_sepa,actif,,
ABO-00087,MEM-00087,essentiel,2025-08-03,,49.0,cb,actif,,
ABO-00088,MEM-00088,essentiel,2023-08-30,,49.0,prelevement_sepa,actif,,
ABO-00089,MEM-00089,premium,2023-08-20,,69.0,prelevement_sepa,actif,,
