checkin_id,membre_id,date_heure_entree,type_acces
CHK-000001,MEM-00001,2026-06-02T16:20,badge
CHK-000002,MEM-00001,2026-06-14T17:45,qr_code
CHK-000003,MEM-00001,2026-06-21T19:00,badge
CHK-000004,MEM-00002,2026-06-02T15:45,badge
CHK-000005,MEM-00002,2026-06-03T18:20,badge
CHK-000006,MEM-00002,2026-06-05T16:00,badge
CHK-000007,MEM-00002,2026-06-13T10:00,qr_code
CHK-000008,MEM-00002,2026-06-18T08:10,qr_code
CHK-000009,MEM-00002,2026-06-18T18:00,badge
CHK-000010,MEM-00002,2026-06-21T18:20,qr_code
CHK-000011,MEM-00003,2026-06-02T15:20,qr_code
CHK-000012,MEM-00003,2026-06-03T08:45,qr_code
CHK-000013,MEM-00003,2026-06-03T10:45,qr_code
CHK-000014,MEM-00003,2026-06-04T10:30,qr_code
CHK-000015,MEM-00003,2026-06-05T15:20,badge
CHK-000016,MEM-00003,2026-06-06T17:10,badge
CHK-000017,MEM-00003,2026-06-06T19:00,badge
CHK-000018,MEM-00003,2026-06-09T18:10,badge
CHK-000019,MEM-00003,2026-06-11T18:00,badge
CHK-000020,MEM-00003,2026-06-12T14:30,badge
CHK-000021,MEM-00003,2026-06-21T11:20,badge
CHK-000022,MEM-00003,2026-06-21T11:30,qr_code
CHK-000023,MEM-00003,2026-06-21T17:45,qr_code
CHK-000024,MEM-00004,2026-06-03T16:45,badge
CHK-000025,MEM-00004,2026-06-03T17:45,badge
CHK-000026,MEM-00004,2026-06-03T19:20,badge
CHK-000027,MEM-00004,2026-06-04T16:00,badge
CHK-000028,MEM-00004,2026-06-04T16:20,qr_code
CHK-000029,MEM-00004,2026-06-05T17:10,badge
CHK-000030,MEM-00004,2026-06-10T10:30,qr_code
CHK-000031,MEM-00004,2026-06-10T15:20,badge
CHK-000032,MEM-00004,2026-06-12T19:10,badge
CHK-000033,MEM-00004,2026-06-13T17:00,qr_code
CHK-000034,MEM-00004,2026-06-13T18:20,qr_code
CHK-000035,MEM-00004,2026-06-20T17:30,badge
CHK-000036,MEM-00005,2026-06-02T19:30,qr_code
CHK-000037,MEM-00005,2026-06-03T17:45,badge
CHK-000038,MEM-00005,2026-06-05T19:45,qr_code
CHK-000039,MEM-00005,2026-06-11T17:45,qr_code
CHK-000040,MEM-00005,2026-06-16T08:20,qr_code
CHK-000041,MEM-00005,2026-06-16T10:30,badge
CHK-000042,MEM-00005,2026-06-19T15:45,qr_code
CHK-000043,MEM-00006,2026-06-03T08:00,qr_code
CHK-000044,MEM-00006,2026-06-05T14:10,badge
CHK-000045,MEM-00006,2026-06-05T16:10,qr_code
CHK-000046,MEM-00006,2026-06-06T08:30,badge
CHK-000047,MEM-00006,2026-06-09T11:00,qr_code
CHK-000048,MEM-00006,2026-06-10T18:20,badge
