paiement_id,abonnement_id,membre_id,date_paiement,montant,mode_paiement,statut_paiement
PAY-000001,ABO-00001,MEM-00001,2026-04-05,49.0,especes,paye
PAY-000002,ABO-00001,MEM-00001,2026-05-05,49.0,especes,paye
PAY-000003,ABO-00001,MEM-00001,2026-06-05,49.0,especes,paye
PAY-000004,ABO-00002,MEM-00002,2026-04-05,49.0,prelevement_sepa,paye
PAY-000005,ABO-00002,MEM-00002,2026-05-05,49.0,prelevement_sepa,paye
PAY-000006,ABO-00002,MEM-00002,2026-06-05,49.0,prelevement_sepa,paye
PAY-000007,ABO-00003,MEM-00003,2026-04-05,49.0,prelevement_sepa,paye
PAY-000008,ABO-00003,MEM-00003,2026-05-05,49.0,prelevement_sepa,paye
PAY-000009,ABO-00003,MEM-00003,2026-06-05,49.0,prelevement_sepa,paye
PAY-000010,ABO-00004,MEM-00004,2026-04-05,69.0,prelevement_sepa,paye
PAY-000011,ABO-00004,MEM-00004,2026-05-05,69.0,prelevement_sepa,paye
PAY-000012,ABO-00004,MEM-00004,2026-06-05,69.0,prelevement_sepa,paye
PAY-000013,ABO-00005,MEM-00005,2026-04-05,49.0,especes,paye
PAY-000014,ABO-00005,MEM-00005,2026-05-05,49.0,especes,paye
PAY-000015,ABO-00005,MEM-00005,2026-06-05,49.0,especes,paye
PAY-000016,ABO-00006,MEM-00006,2026-04-05,49.0,prelevement_sepa,paye
PAY-000017,ABO-00006,MEM-00006,2026-05-05,49.0,prelevement_sepa,paye
PAY-000018,ABO-00006,MEM-00006,2026-06-05,49.0,prelevement_sepa,paye
PAY-000019,ABO-00007,MEM-00007,2026-04-05,49.0,prelevement_sepa,paye
PAY-000020,ABO-00007,MEM-00007,2026-05-05,49.0,prelevement_sepa,paye
PAY-000021,ABO-00007,MEM-00007,2026-06-05,49.0,prelevement_sepa,paye
PAY-000022,ABO-00008,MEM-00008,2026-04-05,49.0,prelevement_sepa,paye
PAY-000023,ABO-00008,MEM-00008,2026-05-05,49.0,prelevement_sepa,paye
PAY-000024,ABO-00008,MEM-00008,2026-06-05,49.0,prelevement_sepa,paye
PAY-000025,ABO-00009,MEM-00009,2026-04-05,69.0,prelevement_sepa,paye
PAY-000026,ABO-00009,MEM-00009,2026-05-05,69.0,prelevement_sepa,paye
PAY-000027,ABO-00009,MEM-00009,2026-06-05,69.0,prelevement_sepa,paye
PAY-000028,ABO-00010,MEM-00010,2026-04-05,49.0,prelevement_sepa,paye
PAY-000029,ABO-00010,MEM-00010,2026-05-05,49.0,prelevement_sepa,paye
PAY-000030,ABO-00010,MEM-00010,2026-06-05,49.0,prelevement_sepa,paye
PAY-000031,ABO-00011,MEM-00011,2026-04-05,49.0,prelevement_sepa,paye
PAY-000032,ABO-00011,MEM-00011,2026-05-05,49.0,prelevement_sepa,paye
PAY-000033,ABO-00011,MEM-00011,2026-06-05,49.0,prelevement_sepa,paye
